jugador;partidos_amonestado
Conor Gallagher;1
Conor Hazard;1
Coşqun Diniyev;1
Craig Goodwin;2
Craig Gordon;1
Cristian Cásseres Jr.;7
Cristian Martínez;3
Cristian Romero;4
Cristiano Ronaldo;2
Cristián Cuevas;1
Cyle Larin;1
Cédric Badolo;1
Cédric Bakambu;2
Cédric Hountondji;1
César Huerta;3
César Inga;1
César Montes;7
César Yanis;1
Dahman Dahman;1
Daichi Kamada;1
Dailon Rocha Livramento;1
Daizen Maeda;1
Daley Blind;1
Damion Lowe;2
Damián Bobadilla;1
Dan Bent;2
Dan Biton;1
Dan Burn;1
Dan Ndoye;3
Danel Sinani;6
Dani Carvajal;5
Dani Olmo;2
Dani Vivian;1
Daniel Aparicio;1
Daniel Ballard;2
Daniel Dumbravanu;1
Daniel Håkans;1
Daniel Kuri;1
Daniel Maldini;1
Daniel Muñoz;2
Daniel Phillips;1
Daniel Sakari;1
Daniel Sosah;1
Daniel Svensson;1
Daniels Balodis;2
Daniil Fomin;1
Danijel Šturm;1
Danil Glebov;1
Danil Krugovoy;1
Danilo;1
Danley Jean Jacques;5
Danny Namaso;1
Dante Leverock;1
Dante Sealy;1
Dany Jean;2
Daníel Grétarsson;1
Dario Sits;2
Darko Velkovski;1
Darlin Yongwa;1
Darwin Cerén;1
Darwin Lom;1
Darwin Machís;3
Darwin Núñez;1
Darío Osorio;1
Dastan Satpaev;1
Dauren Zhumat;1
David Alaba;2
David Brekalo;1
David Brooks;2
David Carmo;1
David Hamansenya;1
David Martínez Morales;1
David Ndeunyema;2
David Raum;3
David Raya;1
David Sebit;1
David Simukonda;1
David Zec;1
Davide Frattesi;2
Davinson Sánchez;1
Dayanch Meredov;1
Dayne St. Clair;1
Dayot Upamecano;1
Dean Huijsen;1
Dean Mothe;2
Dechan Moussavou;1
Deiver Machado;2
Dejan Petrovič;1
Deniche Hill;1
Denil Maldonado;1
Denis Bouanga;1
Denis Huseinbašić;2
Denis Onyango;1
Denis Vavro;1
Denis Zakaria;3
Deniss Melniks;1
Deniz Gül;1
Deniz Undav;1
Dennis Hadžikadunić;1
Dennis Man;1
Denzel Dumfries;2
Denzil Smith;1
Deon Hotto;1
Dereck Moncada;1
Derek Cornelius;7
Deroy Duarte;2
Dexter Lembikisa;1
Dhoraso Moreo Klas;2
Dia Mickaël;1
Dickson Job;2
Didier Ndong;2
Diego Arroyo;1
Diego Gómez;2
Diego Lainez;1
Diego Luna;2
